name,description
Mohammad Alizadeh,"محمد علیزاده متولد 23 دی ماه 1360 است. در کرج به دنیا آمده ودر حال حاضر در تهران زندگی می کند و برای اولین بار در 4 سالگی خوانده است. تحصیلاتش ربطی به موسیقی ندارد، او مهندس کشاورزی است اما علاقه شدیدی به موسیقی دارد.

محمد علیزاده سه سال پیاپی مقام اول قرائت قرآن را در سطح اول کشور بدست آورد و مقام ها و عنوان های بسیاری در ضمینه ی قرائت قرآن و اذان در سطح کشور بدست آورده است"
Alireza Eftekhari,"He was born in Esfahan. His teacher was Tadj Esfahani. He was gone to Tadj class at 12’Th years old. After Tadj he was studied, sing from Hassan Kasaei, Dadbeh, Jalil Shahnaz and Mohammad Reza Shajarian. His method is Hussein Taher Zadeh and Dadbeh’s method. He is winner of Barbad Test at 1357 (1978). He was gone Germany, England, Greece, Japan, Canada, United States, and much country for concert. His cassettes are Raz - o - Niaz, Magham Sabr, Mehr Varzan and …"
Mahsa Vahdat,"Born in Tehran in 1973, Mahsa Vahdat started her career in music by taking piano lessons of Minoo Mohebbi from an early age. She continued the piano with Laleh Aghevli. She picked up Persian traditional singing with Pari Maleki and continued singing with Mehdi Fallah and Mohsen Keramati. Vahdat also plays the setar which she studied under Ramin Kakavand and later Masoud Shoari. She entered the Art University in Tehran in 1993 and graduated from the Music Faculty with a BA in Music. In the Art University she has been under the influence of master musicians such as Sharif Lotfi, Ahmad Pejman, Hooshang Zarif, Behnam Vadani, Abdorreza Sajadi, Hushang Kamkar, and Mohammad Reza Darvishi."
Daal Band,اعضای گروه «دال»، «امین هدایتی» خواننده، «شایان شکرآبی» پیانیست، آهنگساز و همخوان، «غزل مهدوی» شاعر و ترانه سرا، «میلاد سعدی» و «یزدان بهمنی» نوازنده سازهای کوبه ای، هستند.
Shahyar Ghanbari,"Shahyar Ghanbari (Persian: شهیار قنبری) is the sophisticated lyricist, songwriter and singer from Persia.
He writes and sings in Persian, English and French. His songs typically feature Love, Solitude, and nostalgia.Mostly he writes his own lyrics, and composes for himself and for some other singers like Googoosh.

Audio albums:
Agar Hameh Shaaer Boodand(197?)
IF (1980)
Forbidden (1993)
Travelog (1994)
Nakedness (1998)
Forbidden Plus (2000)
I Love You’s (2001)
Rewind Me in Paris (2003)
Reborn (2010)
Les Coeurages (2011)

Filmography:
Iran - sous le voile des apparences (2003), Composer
Sham-e akhar (1976), Director and Writer
Khane-kharab (1975), Actor
Khodahafez rafigh (1971), Songwriter

Books:
The Sea in me
Yek Dahan Sorkh Avaz
Derakhte bi Zamin"
Roozbeh Bemani,"روزبه بمانی (زاده ۷ آذر ۱۳۵۷ در تهران)، بازیگر، شاعر، ترانه‌سرا و خواننده ایرانی است. او فعالیت هنری خود را با کمک بهروز صفاریان، آغاز کرده و سابقه همکاری با هنرمندان نامی ایران از جمله گوگوش، داریوش، احسان خواجه‌امیری، منصور، کاوه یغمایی، محمد اصفهانی، رضا یزدانی، محسن چاوشی، محسن یگانه، علیرضا عصار، علی لهراسبی، محمد علیزاده، بهنام صفوی، فرزاد فرزین، مهدی یراحی، سینا سرلک، پویا جلیلی‌پور، هلن، کامران و هومن، رضا صادقی، مهدی یغمایی، محمدرضا عیوضی و بهنام بانی را در کارنامه خود دارد.
وی در سال‌های فعالیتش با بسیاری از خوانندگان مشهور ایران کار کرده و چند بار در نظرسنجیهای معتبر به عنوان «بهترین ترانه‌سرای سال» دست یافته‌است. او در تیتراژ برخی برنامه‌های تلوزیونی به دلیل ممنوع الاسم بودن، از نام‌های مستعار «بهزاد بمانی»، «بهروز بمانی» استفاده کرده‌است و بسیاری از خوانندگانی که از اشعار و ترانه‌های وی استفاده کرده‌اند، نتوانسته‌اند نام وی را به عنوان ترانه‌سرا به صورت رسمی درج نمایند.
روزبه بمانی در سال ۱۳۸۵ ترانه منو زیر سایه خودت بگیر (سروده خودش) را با همکاری نیما مسیحا و مهدی یراحی و در سال ۱۳۸۶ تیتراژ برنامه شب شیشه‌ای با ترانه دیگری از خودش اجرا نمود تا اینکه پس از سال‌ها ممنوعیت موفق شد در مهر ماه نود و هفت اولین آلبوم شخصی خود را با نام «کجا باید برم» منتشر کند."
25 Band,"Tamin & A-del 
گروه 25بـنـد کــار خـودشـو در بـهـمـن مـاه ۱۳۸۸ بـا آهـنـگ و ویـدئـوی وقـت پــرواز شـروع کـرد و تـا امــروز
تـونـسـتـه ۸ مــوزیــک و ۶ ویــدئــو برای عـزیزان علاقـمـنـدان مـنـتشـر کـنــه
تـامـیـن و عــا‌دل‌ در مـشــهـد مـتــولـد شــدنـد و فـعــالیت خــودشــون رو در هـمــان جـا آغـاز کــردن

و بـعــد از آشـنــائـی بــا هـم تــصـمــیــم بـه تــشــکـیــل ۲۵بـنــد گـرفـتــنـد"
Ballgard,"Ballgard is a four man Persian funk rock band, formed in Tehran, Iran, in 2004. The lineup consists of

Chaf - Drums
Chugh - Guitar
Yosheng - Bass
Yulun - Vocal

They first started by performing works of influential funk rock bands such as Red Hot Chili Peppers and after a few months began to make music of their own. Ballgard's first album, Zigiland, was recorded  by Ramin Pir in the period of April through June 2007 in Tehran and released in 2008 under the label Art Beat Group. The influence of late 80s/early 90s of Red Hot Chili Peppers music is clear in Ballgard's first album Zigiland. Ballgard is allegedly the first Iranian funk band."
Masters of Persian Music,"Masters of Persian Music is a Persian music group. The 2010 Masters of Persian Music: Three Generations performers include:
Mohammad Reza Shajarian: Vocals
Hossein Alizadeh: Tar
Kayhan Kalhor: Kamancheh
Mohammad Reza Ebrahimi: Barbat (lute)
Pezhham Akhavass: Tombak and Daf
Hamidreza Maleki: Santur
Rouzbeh Rahimi: Santur
Siamak Jahangiry: Ney
Hamid Reza Nourbakhsh: vocals
Homayoun Shajarian: vocals and Tonbak


They are superstars in Iran, and they are generally viewed as Iran's greatest classical musicians. 
They also tour abroad.

Their album Faryad (""The Cry"") was nominated in the category of Best Traditional World Music Album at the 48th annual Grammy Awards."
Mohammad Nouri,"(1929-2010)

Mohammad Nouri (محمد نوری) born 1929, died 2010 was one of the foremost pop singers of Iran.

His legendary mystic sound inspired generations of Iranian throughout the world. His famous love and patriotic songs can help the listener fly to the outmost feelings of love to the world he creates. His song Jaan-e Maryam , as well as his patriotic song Iran is a well known Melody and theme among the three generations of Iranians both before and after the revolution."
Milad Derakhshani,میلاد درخشانی متولد 1363 در اصفهان است. میلاد دارای مدرک کارشناسی ارشد موسیقی از دانشگاه هنر است. موسیقی را با ساز تار آغاز نمود و در سال 1386 توانست اولین آلبوم خود با نام افشارستان منتشر کند. سال 1390 گروه افشارستان را تاسیس نمود و توانست کنسرت های موفقی را با این گروه اجرا کند. علاقه او به موسیقی بی کلام باعث شد تا در سال 1388 آلبوم سرخوش را منتشر کند. علاقه او به موسیقی تلفیقی و ارتقا سطح نوازندگی تار او را در شناختن موسیقی دیگر نقاط مشتاق تر می کرد و بهترین راه، آشنایی با سازهای دیگر و بهره گرفتن از تکنیک این سازها در نوازندگی تار و همچنین آهنگسازی بود. سال1391 آلبوم دیگری با نام هیچم خبر از هیچ از وی منتشر شد. میلاد درخشانی موسیقیدانیست تجربی و علاقه وی به تجربه و کنکاش در سبکها و ژانرهای دیگر او را به سمت و سو های مختلفی هدایت می کند. کتابی با عنوان دوازده قطعه برای تار به همراه نمونه صوتی که از ساخته های خود او می باشد و بیشتر جنبه آموزشی، پژوهشی دارد.
Sima Bina,"Born in Khorasan, in the heart of a popular tradition, Sima Bina (Persian: سیما بینا) started her career on Iranian radio at the age of nine, under the direction of her father, Ahmad Bina – a master of Iranian classical music and poet who wrote many of her early songs. 

She studied the repertoire of learned music “radif” and singing technique with great masters such as Maaroufi and Zarrin Panjeh. She went on to acquire her own solo programme, Golhaye Sahraii (Flowers of the Desert), presenting a collection of folk songs and music from various regions of Iran, which is still remembered today.
After graduating from Tehran University in 1969, majoring in Fine Arts, Sima Bina contniued and perfected her knowledge of radif with the highly subtle teaching of great Master Davami.

Since 1979, along with teaching Iranian classical music and vocality to selected students, Sima Bina has focused on doing further research on Persian folk songs, collecting, recording, writing and re-interpreting popular regional music, especially from Khorasan, her native land. By travelling to most remote places all over Khorasan, Sima has been able to gather and revive a collection of almost forgotten songs and melodies. She has thus gained a unique position in the history of Persian music.

Since 1993, Sima Bina has been invited to present her collection of Persian folk songs in festivals all over the world, including ´97 Världen I Norden in Norway, ´99 WDR Weltmusik Festival in Bonn/Germany, and the forthcoming Raza Festival on Khorasan Music in the Netherlands. Furthermore she was invited to perform on “emociona!!! Mujer” in Spain in 2001, then also in Cologne/Germany on the “World Music Night” and also on a Festival in Antwerpen/Netherlands in the “Culturen Centrum”. And many many more.

Due to her devotion and dedication to the Iranian folk music, Sima Bina can now see the materialization of thirty years of meticulous work by making her music known worldwide."
Zir-Cigari,"Zir-Cigari is an underground Iranian rock band formed in 2005. The band is made up of Yashar Afrasiab (Vocals), Keivan (Lead Guitar)

Discography : 

Albums :
2012 : Nale Dar Kenare Zohr

Singles : 
2012 : Rahi Nist"
Alireza JJ,"Iranian Hip Hop Producer/Rapper, Member of Zedbazi. Born in Tehran 19 October 1985, best known for producing hit songs such as Tabestoon Kootahe, Zamin Saafe, and Chera Badi?. 

He is probably the most controversial member of ZedBazi. He often takes shots at other artists and sometimes even his own fans. His flow is often slower than the other members, but he makes up for it by having controversial and politically-charged.He also serves as a producer in the group alongside Mehrad Hidden"
Shakila,"Shakila (born May 3, 1962, Tehran) is a Persian vocalist and master of classical Persian music.
She studied both Persian classical music, (from maestro Mahmoud Karimi) and western classical music. In 2005, Shakila was awarded by Persian Academy Awards International for her modern Classical Performances.
Shakila does not make the lyrics or melody herself.
She is the youngest child of her family. At age nine she was invited to a television show, which caught the attention of producers. Her family thought she was too young to sing professionally, so she focused on her studies. She studied music with Mahmoud Karimi from ages 15 to 18 before moving to the United States.
After studying classical music, she released her first album, ""Kami Baa Man Modaaraa Kon."" She is heavily interested in poetry, and sings many of Rumi's poems.[1]"
Arian Band,"Arian Band (Persian: گروه آريان) is the first ever boy & girl pop band in Iran. They were followed by a whole series of boy/girl bands. Starting with their third album, Till Eternity..., released in 2004 they started to show their music to the rest of the world and were nominated for BBC World Music awards recently. The band has become so popular that more than 54,000 tickets to one of their concerts were sold in less than six hours.

Currently the members of the band are:

    * Ali Pahlavan (Vocals & Guitar)
    * Payam Salehi (Vocals & Guitar)
    * Ninef Amirkhas (Keyboard)
    * Siamak Khahani (Violin)
    * Alireza Tabatabaee (Drum)
    * Borzou Badihi (Percussion)
    * Sharareh Farnezhad (Guitar, Chorus)
    * Sahar Kashmari (Chorus)
    * Sanaz Kashmari (Chorus)
Former Member :
    * Mohammad Reza Golzar (Guitar)

In a recent interview with BBC they said: ""Now we have a responsibility, we should be better and introduce ourselves all over the world. If you go to Iranian movies all you see is misery - nothing else. People think Iran is like this - everything is a desert, all the people are crying... We wanted to show the real Iran.""

Originally, Mohammad Reza Golzar, a famous actor and model, used to be the main guitarist for the group."
Hamed Homayoun,
Take It Easy Hospital,"Take It Easy Hospital is a currently London based band from Iran. Formed by singer-songwriter and composer Ash Koosha also known as Ashkan Kooshanejad and singer-songwriter Negar Shaghaghi in Tehran, the duo has been playing as an underground Indie band since 2008.
Their first single demo song Human Jungle was recorded in July 2008 and received a lot of positive feedback from fans that encouraged them to move further in their new music life and resulted in their first EP ""Human Jungle"" and Singles "" My Sleepy Fall "" and "" Chasing The Sun "". The band are influenced by Terry riley, Steve Reich and Sigur Rós.[1] The two starred in a fiction-documentary film by acclaimed Iranian director Bahman Ghobadi in 2009. The film which was made without a permit follows their story trying to find live members to play in some festivals in the UK."
Abdi Behravanfar,"Abdi Behravanfar(Persian: عبدي بهروانفر) (born 1975) is an Iranian guitar player and he plays harmonica in country blues style with Fleming Khoshghadami. In 2000 he formed a band named Mud Band with 5 other members. They performed 4 concerts in blues rock and folk rock styles. 

Behravanfar made music for 4 short films,the one called ""Gone Far Away"" won the prize for the best music in JAVAN festival film in Iran. He also collaborated with Mohsen Namjoo on his Toranj album. 

He recorded 15 songs before moving to Armenia in 2007 to study jazz in conservatory. Consequently he experienced playing at bars and cafés, even at metros and sidewalks; furthermore 6 concerts were held in Yerevan.

Back to Mashhad when recording his debut album named “Shalamrood”, he was learning Dotar with Ali Gholamrezayee Almajughi and it was accompanied with learning the ancient folk tales of Iran which caused his closeness toward Maghami and folk music,and it had its effect on his second album” Kokheo&Kalakhet” that has released 2009.

In may 2008 he released his debut Solo album  Shalamrood  by Bamahang Productions.In 2009 he released the album named ''Kokheo&Kalakhet "" by Zirzamin production ."
Marzieh,"Marzieh / مرضیه (born in 1926 in Tehran, died on 13 October 2010 in Paris), was a singer of Persian traditional music. Known as the first lady of Persian music, she has been one of the most outstanding figures the artistic society of Iran has ever witnessed. Marzieh has touched the hearts of millions of people by her lovely performances and songs that will be whispered forever. As long as music exists, Marzieh will be remembered and highly respected at the horizons of the music world of Iran. She has enormous number of songs and almost all of them seem familiar to the Iranians. She has spoken on behalf of every single person who had something to whisper. Like other ladies in Iran, she became silent in 1979 and no longer appeared on any stages of her homeland to sing for her people. In 1990s, she left Iran due to her political ideas and joined one of the anti-Iranian government organizations abroad.

Soon after she left the country, she performed several concerts in Los Angeles, California (1995), and later in Earl's Court London, England (1996), as well as in some other places where multitudes of people from different backgrounds, beliefs, religions, and nationalities gathered and joined in friendship and peace to remember those days of old age in Iran once more. They loved to hear her voice live again and Marzieh made their dreams come true at such an old age."
Banan,"Gholām-Hossein Banān (May , 1911, Gholhak, Tehran, Iran — February 27 , 1986, Gholhak, Tehran, Iran) was an Iranian musician and singer. 

He was born into a musical family. His father, Karim Khān Banān ol-Douleh Nurí, was a musician (and calligrapher), and his mother, daughter of Prince Mohammad Taqi Mirza Rokn ed-Dowleh son of Mohammad Shah Qajar and brother of Nasser al-Din Shah Qajar), was an accomplished pianist; one brother and two sisters also played the tar as pupils of the renowned musician Morteza Neydavood.

From the age of six Gholam-Hossein Banān began to take lessons in singing and playing the piano and organ through the encouragement of Morteza Neydavood who was quick to recognize him as musically talented. Gholām-Hossein's first teachers were his parents. He subsequently studied with Mirzā Tāher Ziā oz-Zākerin Rasā'í and Nāser Seif. Ali-Naqi Vaziri later introduced him to the acclaimed Rouhollah Khaleghi.

Banān joined the Iranian National Music Association in 1942, and appeared on Iranian National Radio that same year. He then joined the orchestra of the distinguished pianist Javad Maroufi, becoming the lead vocalist.

In 1957, or 1958, (1336 AH) Banān became blind in one eye (believed to be the left eye) following a car accident.

Banān died at 7 o'clock on the afternoon of Thursday 27 February 1986 (8 Esfand 1364 AH) in Iranmehr Hospital in Gholhak, Tehran. He is still remembered by lovers of traditional Persian music. Among his best-remembered songs are Ey Iran, Caravan and Elahe-ye Naz."
Sara Naeini,"Sara Naeini (سارا نائينى) born on 22nd of Jun 1981.number one champion of Iran in gymnastic since she was 8 years old. 
She got interested the world of music when she was 18 by performing solo in a private concert held in a house, lasting 3 nights, each night 2 performances. 
After that she participated in many albums and concerts as a back vocalist, and worked with some bands as a member. Bands like Piccolo (a pop rock band, the album will be released soon) and Rama (pop).concerts with singers like Alireza Asar (in Milad hall) and Khajenouri brothers (Sa'd abad palace). She has participate in several albums . Two of them are the latest album of Hami and Varan band, their first album. 
She also has a solo album ready that was first played on her interview with BBC about 3 years ago. But because of the rules of Iran-that voice of a woman can’t be heard- it can’t be released inside of the country. 
The album includes five tracks. Four of them are in Latin jazz style and one of them is soft rock. All of the songs are arranged by Reza Tajbakhsh, but composers are different."
Shahab Ramezan,"Shahab Ramezan ( Persian : شهاب رمضان born 1979 in Tehran, Iran) is an Iranian Pop Singer and Music Composer.He started his music carrier at 2010 in Tehran with his first album ""Romantic"".
Studio Albums:
Romantic (2010)
Jashne Tanhaee (2013)
-----------------------------------------------------------
شهاب رمضان در سال 1358 در تهران متولد شد، علاقه زیاد وی به موسیقی در دوران کودکی و نیز حمایت و تشویق پدر و مادرش که همواره خود را مدیون آنها می داند موجب گردید تا تحت نظر استادان برجسته ای نظیر استاد مهدی شمس نیکنام و آندره مرادیان در زمینه آواز سلفژ و پیانو به تحصیل موسیقی بپردازد.
شهاب رمضان اولین آثار خود را با همکاری شرکت آفاق فیلم (موسیقی متن) در تله فیلمهای سینمایی آغاز کرد و در ادامه فعالیتهای خود با کارگردانهای برجسته ای همچون کاظم معصومی، آرش معیریان، منصور اکبر فلاح و اسماعیل فلاح پور در فیلمهای اوهام، زهر و پادزهر، بوی خاک، راز آبنبات چوبی و قربانی همکاری نمود.
شهاب رمضان سال 1386 در جشنواره رادیویی تسنیم در زمینه پاپ یک اثر برگزیده ارائه نمود که توسط محمد علیزاده به اجرا در آمد. شهاب رمضان در طی سالهای فعالیت خود برای هنرمندانی همچون سیروان خسروی .بهنام صفوی،محمد علیزاده .حمید عسکری، امین رستمی .ماهان بهرام خان.مهدی یغمایی ، ایمان قیاسی، امیر یگانه،امیر جاهد. نادر مسچی، بهرنگ بهادرزاده، رامین بی باک، آریا جهان میرزایی، و.... به عنوان آهنگساز.همکاری داشته است"
GDaal,
Morteza,"Morteza Barjesteh (Persian: مرتضی برجسته‎), best known by his stage name Morteza, is an Iranian pop singer-songwriter and composer who gained fame in Iran during the 1980s."
Shahram Solati,"Shahram was born in Iran in 1955, but is now based in Los Angeles, USA. His career started in Iran, but in 1985, like so many Iranian artists, left the country and restarted his career overseas.
Coming from a family of musicians and entertainers it is not strange that he went in the direction of singing.
His first album was released in 1978, ""Shahre Setareh"" and untill 2007 he released no less than 16 albums, with his 2007 release ""Ghasam"" as the latest.
His music is in many ways traditional, Iranian pop, with many dancable numbers. But liked by both old and young."
Kamran & Hooman,
Sepehr Khalse,
Babak Rahnama,"Babak is a rising Persian Singer and an established DJ/Producer from London, UK. His aim is to shape the future of Persian music through his Singing Career.
As an International DJ/Producer his aim is to make outstanding world-class dance music, and Entertain clubbers Worldwide.
Babak released his first Persian Artist Album 'Delhore va Arezooha' on the 1st October 2008. After that he released 'Night train' , ' The Classical piano' and Recently 'Take Off' ,respectivly.
He's going to release another album 'Greatest Hits'  including Most downloaded Songs By babak so far."
Azam Ali and Loga Ramin Torkian,"Musical collaboration by Azam Ali and Loga Ramin Torkian. They released their first album ""Lamentation of Swans: A Journey Towards Silence"" in 2013.
Azam explains: ""This album, is a musical journey that began in 2009. While in the midst of a hectic touring schedule with our group Niyaz, my husband/musical collaborator Loga Ramin Torkian and I began to feel the need to create something that would allow us a world to lose ourselves into, a place of solace that could unburden us from the pressures that come from expectations placed on us as artists. Though tremendously grateful for the opportunity we had to perform our music in parts of the world we never imagined visiting, the physical demand of traveling, performing and being full time parents to our beautiful, magical little son Iman whom we refused to leave behind, took its expected toll on us. So in the quiet months back in our own home, we began creating this world for ourselves to escape into- a world where no expectations exist, a world where it sufficed just to be. As with all journeys, the unexpected happened along the way, and we slowly found ourselves discovering new plateaus of sonic landscapes which we would have never encountered had we not fully embraced the terrifying silence which comes with turning within. Hence, Lamentation of Swans became for us a Journey Towards Silence."""
Simin Ghanem,"Simin Ghanem (Persian: سیمین غانم‌) (born 1944, Tonekabon, Iran) is an Iranian classical and pop singer. Simin started singing when she was at 9. she was the best singer in the ""Iran's school competition"" at 1962. After 7 years she started her professional singing with TV program that called : Moje Khorooshan"" (1969).
She leaned Iranian Traditional music with Morteza Hannaneh & Ali Tajvidi, both real professional master of music of Iran. Her first Song in this style was : Gollake Cheshat (قلک چشات) that for some many year was more popular song between Iranian. Her Most famous song is Gole Goldoon (گل گلدون). 
Like other ladies in Iran, she became silent in 1979 and no longer appeared on any stages of her homeland to sing for her people. but recently she can sing again except for the females audiences."
Amir Azimi,Amir Azimi was a student at the Conservatory of Tehran between the years 2010 to 2011. He started singing from 2009 and after six years he entered the market. He has done two end credits for films. This was the beginning of his career in Iran.
Poobon,
Saeed Modarres,"Saeed Modarres (Persian:سعید مدرس born 1977) in an iranian pop singer, songwriter and composer.His career started with playing piano and continued wih mixing songs.
Studio albums:
Zendegi (2007)
Ye Etefaghe Khoob (2010)
Sahele Chamkhaleh (2014)

                                                                   ------------------------------


سعید مدرس (متولد ۱ مرداد سال پنجاه و شش ) خواننده ایرانی است. او علاوه بر خوانندگی در زمینه آهنگسازی وتنظیم آهنگ ساخت کلیپ و همچنین طراحی و نقاشی فعالیت دارد. وی دانش آموخته در مقطع کارشناسی مهندسی عمران است.

او در سن 15 سالگی وارد دنیای موسیقی شد و در سال ۱۳۸۶ اولین آلبوم خود را با نام «زندگی» ارائه کرد که شامل ۸ آهنگ است. آلبوم بعدی وی با نام «یک اتفاق خوب» با ۹ ترانه در سال ۱۳۸۸ انتشار یافت.

همچنین سعید مدرس بین سال های1386تا 1388 کارگردانی بیش از 40 موزیک ویدیو را برای تعداد زیادی از خوانندگان ایرانی بر عهده داشت که اکثرا آثار مورد توجهی بودند . کلیپ هایی که بعدها منشا الهام بسیاری از کارگردانان شدند.

ویدیوی دنیای وارونه ، عکس تو ، عشق فارسی ، فال ، گریه نکن ، یالا (مهدی اسدی) ، همین که هست ( زانیار ) و ... از جمله آثار بسیار موفق وی می باشند .
سعید مدرس همچنین از سال 1373 زیر نظر روئین پاکباز ضمن فراگیری مبانی هنرهای تجسمی به مطالعه بر روی تاریخ هنر اقدام نمود و پس از سالها تمرینات مستمر در طراحی و نقاشی ، سرانجام آثار خود را در چندین نمایشگاه داخلی به  نمایش گذاشت.

آخرین آلبوم او که اولین آلبوم مجازش نیز میباشد با نام ""ساحل چمخاله"" در اسفند 92 روانه بازار شد"
Shahab Tiam,"From a very early age, Shahab was interested in music and musical instruments. At age 12, he had his first solo performance at the school Cur. It could be said that it was then that a glimpse into his potential was noticed when he won second place in soloing in an ensuing citywide competition of schools. A few years later at age 17, Shahab decided to move to the US in pursuit of developing his musical career. Seeing America as fertile grounds for an aspiring musician, he journeyed to Turkey to apply entrance into the US. While in Turkey, Shahab was introduced to the kit drums. Inspired by this and many other experiences and emotions, Shahab found himself occupying most of his times writing songs. 

A short while later at age 18, Shahab finally gained admittance into the US, taking up residency in Phoenix Arizona. First on the agenda was to finish up his education and to develop the host language of the nation. He quickly befriended some local musicians and began to work on and develop his unique Iranian style. Among these musicians were Reza G (DJ Tapesh), Basim Mozaffari and Reza Tolu. Shahab’s first US project ""Tapesh"" was born a short while later. The band started to perform at local events in Arizona. 

Shahab, now 20 years old, decided to move to the heart of the Western Iranian music industry, California. Upon his arrival in San Diego, he again focused on his educational goals and networking with local Iranian musicians. He began to work with the great Kian Hejazi, and Farzad Emtesali. The band ""Shadows"" was born. Things started to happen and Shahab’s early signs of a music career started to manifest. He was introduced to a well known Persian singer and very talented musician named Shahyad. He had a good feeling about Shahab’s talents and offered Shahab an opportunity to participate in a Shahyad concert that was coming up. Shahyad was so impressed with the manner and quality of Shahab’s performance that the decision was made by the two for Shahyad to become Shahab’s new primary producer and composer."
Ahmad Saeedi,Ahmad Saeedi (احمد سعیدی in Persian)  is an Iranian pop singer.
Naser Abdollahi,"He was born in Bandar Abbas in 1970, Abdollahi left his hometown and moved to Tehran in the mid 1990s and shortly afterwards recorded his first album ""That's Love"".

Abdollahi made a name for himself and his group with his Gypsy King style ""Nasseria"", a song he recorded on his second album ""I Love You"".

""Smell of Damp"" was his third album and ""Eve's Whims"" was his last work, whose title song presciently was about death.

he went into a coma at a hospital in Bandar Abbas on November 24, 2006, but was transferred to Tehran for additional treatment.
Nasser Abdollahi died of kidney failure at the Hasheminejad Hospital in Tehran on Wednesday, December 20, 2006."
Nooshafarin,"Nooshafarin (Persian: نوش آفرين, also spelled Noosh Afarin) is a popular Iranian singer. She is part of a large network of Iranian singer, composer, and songwriter exiles of the 1970s era who live and work in Southern California. Her name means ""creator of joy"" in Persian."
Mani Rahnama,
Kaveh Afagh,
Mehrpouya,"Mehrpouya (or Mehrpoya, Mehrpooya, Mehrpuya, Mehr Pooya... according to transcripts of the Persian مهرپویا) was born ايراايران مهرپويا(Abbas Mehrpooya) in Tehran (1927/1992).
Poet, translator, actor, guitarist, sitar and santur player, organist, multi-musician, he introduced the sitar in popular music in Iran.
He had a habit of using natural instruments such as bones or pots he used as percussion.
He also composed and performed music and songs for the Iranian cinema, in a series of films such as: Battle with Satan and The Love Thief (1952)"
Kayhan Kalhor & Erdal Erzincan,"Kayhan Kalhor (Persian: كيهان كلهر), born 1963, is an Iranian kamancheh player of Kurdish descent.
Kayhan Kalhor was born in Tehran, Iran. He began studying music at seven years of age. By age thirteen he was playing in the National Orchestra of Radio and Television of Iran. Continuing his music studies under various teachers, he studied in the Persian radif tradition and also travelled to study in the northern part of Khorasan province, where music traditions have Kurdish and Turkic influences as well as Persian. At a musical conservatory in Tehran around age 20 Kalhor worked under the directorship of Mohammad Reza Lotfi who is from Gorgan. Kalhor also travelled in the northwestern (Kurdish) provinces of Iran. He later moved to Rome and Ottawa to study European classical music.
Kayhan Kalhor has a wide range of musical influences, he uses several musical instruments, and crosses cultural borders with his work, but at his center he is an intense player of the Persian Kamanche. In his playing Kalhor often pins Persian classical music structures to the rich folk modes and melodies of the Kurdish tradition of Iran.

Kalhor has composed works for, and played alongside, the famous Iranian vocalists Mohammad Reza Shajarian (see Masters of Persian Music) and Shahram Nazeri. He has also composed and performed with the Indian sitar player Shujaat Husain Khan, the two forming a ghazal group and publishing several albums. Kalhor's 2004 album Mirror of the Sky was a joint venture with the Kurdish Iranian lute player Ali Akbar Moradi. Kalhor's most recent album The Wind (2006) is a collaboration with the Turkish baglama virtuoso Erdal Erzincan, with both Turkish and Persian pieces performed. At other times Kalhor has collaborated with Yo-Yo Ma's Silk Road Project Ensemble in the USA and the Kronos Quartet.

Kalhor now resides in USA and has been commercially successful in USA over the past decade (two of his works were nominated for Grammy Awards in 2004)."
Wantons,"The Wantons are a Hip Hop / Rap group with R&B and some Pop influences. Formed in Tehran in 2010 since then they have officially released 5 singles : Psycho , Break the hours , Saadegito mikhaam , Coming soon and Eshtebah kardam Eshtebah kardi . Current members are: , Koorosh, Pedi I and Sami Low. The Wantons started out in 2009 when friends Koorosh, Astiag and Roozbeh OMD decided to form a band. Later on, they discovered Sami’s talent in singing and though he had no prior experience, they decided to bring him in the band. Pedi I met Koorosh while free styling in rap battles and he eventually joined the group in 2010. Koorosh met Athena by chance a year later and was amazed by her vocal ability and made her the group vocalist. Astiag left The Wantons before they released any songs due to personal problems. He now works with a rock band in Tehran. Before the release of Saadegito mikhaam, Roozbeh OMD also left the band to work on his own. The Wantons recently released Eshtebah kardam Eshtebah kardi and they are currently working on some singles that will come out in late 2013."
